제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜대수,리콜사유,시정대수,시정율(퍼센트)
비엠더블유코리아(주),K 1600 GTL,2017-06-06,2017-06-06,2022-06-30,1,수동변속기의 6단 기어가 생산 공정 오류로 내구성이 부족한 부품이 장착되어 시간이 지남에 따라 해당 부품이 마모되어 파손될 수 있는 가능성이 있습니다.,1,100
비엠더블유코리아(주),K 1600 GT,2018-02-27,2018-02-27,2022-06-30,1,수동변속기의 6단 기어가 생산 공정 오류로 내구성이 부족한 부품이 장착되어 시간이 지남에 따라 해당 부품이 마모되어 파손될 수 있는 가능성이 있습니다.,1,100
(주)에프엠케이,마세라티 MC20,2021-12-14,2022-01-25,2022-05-31,10,"회로 기판의 불량으로, 후미등 점등 시, 정상적으로 작동하지 않고 깜박거림이 발생할 수 있음.",10,100
비엠더블유코리아(주),BMW 745e iPerformance,2020-05-27,2020-07-16,2020-09-29,31,"당사의 문서번호『BGK-2020-A61-138』로 제출한 PHEV차량의 고전압 배터리 시정조치계획사전보고와 관련하여 BMW 독일본사로부터 추가적인 점검 방법과 점검 결과에 따른 기술적 조치 사항에 대한 내용을 전달 받아 정식 보고 드립니다. 점검 방법의 경우 고객에게 기 판매된 차량에 대해서는 고전압 배터리의 충전이력을 점검하여 80%이상 충전 이력이 확인된 차량은 고객에게 인도하여 차량 운행이 가능하도록 인도하는 방식에서 80%이상의 충전이력을 확인하고 확인된 차량에 한 하여 완전충전(100%) 기록이 차량에 수록되어 있는 경우에만 고객에게 인도하며 정상판정 기준의 충전이력이 확인되지 않은 차량의 경우 고전압 배터리 셀 모듈을 교체합니다. 또한 고객에게 판매되지 않은 차량에 대해서는 고전압 배터리를 완전 충전시킨 뒤 2시간동안 그대로 두고 35% 수준까지 방전시킨 뒤 전용 진단기를 통해 고장메모리의 수록 여부를 판독하여 고장메모리가 확인되면 고전압 배터리 셀 모듈을 교체 합니다. 판매 전 차량을 점검하는 과정에서 화재발생 시 해당 차량은 폐기 될 예정입니다. 금번 시정조치 사유는 기 사전보고 드렸던 내용과 동일하게, 고전압 배터리 팩 용접 시 발생하는 이물질을 제거하기 위한 세척 공정이 불 충분하여 고전압 배터리 팩 내에 이물질이 남아있을 수 있습니다. 이물질의 크기, 위치 등에 따라 충전 시 고전압 배터리의 팽창에 따른 배터리 팩과 이물질간 눌림이 발생하여 첫 번째 충전에서 80%이상 충전 시 고전압 배터리가 단락 되며 드문 경우 화재발생 가능성이 확인 되어 해당 시정조치를 실시합니다.",31,100
비엠더블유코리아(주),BMW 530e iPerformance,2020-05-25,2020-06-30,2020-09-29,314,"당사의 문서번호『BGK-2020-A61-138』로 제출한 PHEV차량의 고전압 배터리 시정조치계획사전보고와 관련하여 BMW 독일본사로부터 추가적인 점검 방법과 점검 결과에 따른 기술적 조치 사항에 대한 내용을 전달 받아 정식 보고 드립니다. 점검 방법의 경우 고객에게 기 판매된 차량에 대해서는 고전압 배터리의 충전이력을 점검하여 80%이상 충전 이력이 확인된 차량은 고객에게 인도하여 차량 운행이 가능하도록 인도하는 방식에서 80%이상의 충전이력을 확인하고 확인된 차량에 한 하여 완전충전(100%) 기록이 차량에 수록되어 있는 경우에만 고객에게 인도하며 정상판정 기준의 충전이력이 확인되지 않은 차량의 경우 고전압 배터리 셀 모듈을 교체합니다. 또한 고객에게 판매되지 않은 차량에 대해서는 고전압 배터리를 완전 충전시킨 뒤 2시간동안 그대로 두고 35% 수준까지 방전시킨 뒤 전용 진단기를 통해 고장메모리의 수록 여부를 판독하여 고장메모리가 확인되면 고전압 배터리 셀 모듈을 교체 합니다. 판매 전 차량을 점검하는 과정에서 화재발생 시 해당 차량은 폐기 될 예정입니다. 금번 시정조치 사유는 기 사전보고 드렸던 내용과 동일하게, 고전압 배터리 팩 용접 시 발생하는 이물질을 제거하기 위한 세척 공정이 불 충분하여 고전압 배터리 팩 내에 이물질이 남아있을 수 있습니다. 이물질의 크기, 위치 등에 따라 충전 시 고전압 배터리의 팽창에 따른 배터리 팩과 이물질간 눌림이 발생하여 첫 번째 충전에서 80%이상 충전 시 고전압 배터리가 단락 되며 드문 경우 화재발생 가능성이 확인 되어 해당 시정조치를 실시합니다.",314,100
비엠더블유코리아(주),BMW 530e iPerformance,2020-06-19,2020-07-31,2020-09-29,143,"당사의 문서번호『BGK-2020-A61-138』로 제출한 PHEV차량의 고전압 배터리 시정조치계획사전보고와 관련하여 BMW 독일본사로부터 추가적인 점검 방법과 점검 결과에 따른 기술적 조치 사항에 대한 내용을 전달 받아 정식 보고 드립니다. 점검 방법의 경우 고객에게 기 판매된 차량에 대해서는 고전압 배터리의 충전이력을 점검하여 80%이상 충전 이력이 확인된 차량은 고객에게 인도하여 차량 운행이 가능하도록 인도하는 방식에서 80%이상의 충전이력을 확인하고 확인된 차량에 한 하여 완전충전(100%) 기록이 차량에 수록되어 있는 경우에만 고객에게 인도하며 정상판정 기준의 충전이력이 확인되지 않은 차량의 경우 고전압 배터리 셀 모듈을 교체합니다. 또한 고객에게 판매되지 않은 차량에 대해서는 고전압 배터리를 완전 충전시킨 뒤 2시간동안 그대로 두고 35% 수준까지 방전시킨 뒤 전용 진단기를 통해 고장메모리의 수록 여부를 판독하여 고장메모리가 확인되면 고전압 배터리 셀 모듈을 교체 합니다. 판매 전 차량을 점검하는 과정에서 화재발생 시 해당 차량은 폐기 될 예정입니다. 금번 시정조치 사유는 기 사전보고 드렸던 내용과 동일하게, 고전압 배터리 팩 용접 시 발생하는 이물질을 제거하기 위한 세척 공정이 불 충분하여 고전압 배터리 팩 내에 이물질이 남아있을 수 있습니다. 이물질의 크기, 위치 등에 따라 충전 시 고전압 배터리의 팽창에 따른 배터리 팩과 이물질간 눌림이 발생하여 첫 번째 충전에서 80%이상 충전 시 고전압 배터리가 단락 되며 드문 경우 화재발생 가능성이 확인 되어 해당 시정조치를 실시합니다.",143,100
비엠더블유코리아(주),BMW 330e iPerformance,2020-06-03,2020-07-07,2020-09-29,179,"당사의 문서번호『BGK-2020-A61-138』로 제출한 PHEV차량의 고전압 배터리 시정조치계획사전보고와 관련하여 BMW 독일본사로부터 추가적인 점검 방법과 점검 결과에 따른 기술적 조치 사항에 대한 내용을 전달 받아 정식 보고 드립니다. 점검 방법의 경우 고객에게 기 판매된 차량에 대해서는 고전압 배터리의 충전이력을 점검하여 80%이상 충전 이력이 확인된 차량은 고객에게 인도하여 차량 운행이 가능하도록 인도하는 방식에서 80%이상의 충전이력을 확인하고 확인된 차량에 한 하여 완전충전(100%) 기록이 차량에 수록되어 있는 경우에만 고객에게 인도하며 정상판정 기준의 충전이력이 확인되지 않은 차량의 경우 고전압 배터리 셀 모듈을 교체합니다. 또한 고객에게 판매되지 않은 차량에 대해서는 고전압 배터리를 완전 충전시킨 뒤 2시간동안 그대로 두고 35% 수준까지 방전시킨 뒤 전용 진단기를 통해 고장메모리의 수록 여부를 판독하여 고장메모리가 확인되면 고전압 배터리 셀 모듈을 교체 합니다. 판매 전 차량을 점검하는 과정에서 화재발생 시 해당 차량은 폐기 될 예정입니다. 금번 시정조치 사유는 기 사전보고 드렸던 내용과 동일하게, 고전압 배터리 팩 용접 시 발생하는 이물질을 제거하기 위한 세척 공정이 불 충분하여 고전압 배터리 팩 내에 이물질이 남아있을 수 있습니다. 이물질의 크기, 위치 등에 따라 충전 시 고전압 배터리의 팽창에 따른 배터리 팩과 이물질간 눌림이 발생하여 첫 번째 충전에서 80%이상 충전 시 고전압 배터리가 단락 되며 드문 경우 화재발생 가능성이 확인 되어 해당 시정조치를 실시합니다.",178,99.44
비엠더블유코리아(주),BMW 745Le iPerformance,2020-05-26,2020-07-31,2020-09-29,57,"당사의 문서번호『BGK-2020-A61-138』로 제출한 PHEV차량의 고전압 배터리 시정조치계획사전보고와 관련하여 BMW 독일본사로부터 추가적인 점검 방법과 점검 결과에 따른 기술적 조치 사항에 대한 내용을 전달 받아 정식 보고 드립니다. 점검 방법의 경우 고객에게 기 판매된 차량에 대해서는 고전압 배터리의 충전이력을 점검하여 80%이상 충전 이력이 확인된 차량은 고객에게 인도하여 차량 운행이 가능하도록 인도하는 방식에서 80%이상의 충전이력을 확인하고 확인된 차량에 한 하여 완전충전(100%) 기록이 차량에 수록되어 있는 경우에만 고객에게 인도하며 정상판정 기준의 충전이력이 확인되지 않은 차량의 경우 고전압 배터리 셀 모듈을 교체합니다. 또한 고객에게 판매되지 않은 차량에 대해서는 고전압 배터리를 완전 충전시킨 뒤 2시간동안 그대로 두고 35% 수준까지 방전시킨 뒤 전용 진단기를 통해 고장메모리의 수록 여부를 판독하여 고장메모리가 확인되면 고전압 배터리 셀 모듈을 교체 합니다. 판매 전 차량을 점검하는 과정에서 화재발생 시 해당 차량은 폐기 될 예정입니다. 금번 시정조치 사유는 기 사전보고 드렸던 내용과 동일하게, 고전압 배터리 팩 용접 시 발생하는 이물질을 제거하기 위한 세척 공정이 불 충분하여 고전압 배터리 팩 내에 이물질이 남아있을 수 있습니다. 이물질의 크기, 위치 등에 따라 충전 시 고전압 배터리의 팽창에 따른 배터리 팩과 이물질간 눌림이 발생하여 첫 번째 충전에서 80%이상 충전 시 고전압 배터리가 단락 되며 드문 경우 화재발생 가능성이 확인 되어 해당 시정조치를 실시합니다.",57,100
비엠더블유코리아(주),BMW X3 xDrive30e,2020-07-07,2020-08-13,2020-09-29,130,"당사의 문서번호『BGK-2020-A61-138』로 제출한 PHEV차량의 고전압 배터리 시정조치계획사전보고와 관련하여 BMW 독일본사로부터 추가적인 점검 방법과 점검 결과에 따른 기술적 조치 사항에 대한 내용을 전달 받아 정식 보고 드립니다. 점검 방법의 경우 고객에게 기 판매된 차량에 대해서는 고전압 배터리의 충전이력을 점검하여 80%이상 충전 이력이 확인된 차량은 고객에게 인도하여 차량 운행이 가능하도록 인도하는 방식에서 80%이상의 충전이력을 확인하고 확인된 차량에 한 하여 완전충전(100%) 기록이 차량에 수록되어 있는 경우에만 고객에게 인도하며 정상판정 기준의 충전이력이 확인되지 않은 차량의 경우 고전압 배터리 셀 모듈을 교체합니다. 또한 고객에게 판매되지 않은 차량에 대해서는 고전압 배터리를 완전 충전시킨 뒤 2시간동안 그대로 두고 35% 수준까지 방전시킨 뒤 전용 진단기를 통해 고장메모리의 수록 여부를 판독하여 고장메모리가 확인되면 고전압 배터리 셀 모듈을 교체 합니다. 판매 전 차량을 점검하는 과정에서 화재발생 시 해당 차량은 폐기 될 예정입니다. 금번 시정조치 사유는 기 사전보고 드렸던 내용과 동일하게, 고전압 배터리 팩 용접 시 발생하는 이물질을 제거하기 위한 세척 공정이 불 충분하여 고전압 배터리 팩 내에 이물질이 남아있을 수 있습니다. 이물질의 크기, 위치 등에 따라 충전 시 고전압 배터리의 팽창에 따른 배터리 팩과 이물질간 눌림이 발생하여 첫 번째 충전에서 80%이상 충전 시 고전압 배터리가 단락 되며 드문 경우 화재발생 가능성이 확인 되어 해당 시정조치를 실시합니다.",130,100
비엠더블유코리아(주),BMW X5 xDrive45e iPerformance,2020-07-20,2020-08-07,2020-09-29,26,"당사의 문서번호『BGK-2020-A61-138』로 제출한 PHEV차량의 고전압 배터리 시정조치계획사전보고와 관련하여 BMW 독일본사로부터 추가적인 점검 방법과 점검 결과에 따른 기술적 조치 사항에 대한 내용을 전달 받아 정식 보고 드립니다. 점검 방법의 경우 고객에게 기 판매된 차량에 대해서는 고전압 배터리의 충전이력을 점검하여 80%이상 충전 이력이 확인된 차량은 고객에게 인도하여 차량 운행이 가능하도록 인도하는 방식에서 80%이상의 충전이력을 확인하고 확인된 차량에 한 하여 완전충전(100%) 기록이 차량에 수록되어 있는 경우에만 고객에게 인도하며 정상판정 기준의 충전이력이 확인되지 않은 차량의 경우 고전압 배터리 셀 모듈을 교체합니다. 또한 고객에게 판매되지 않은 차량에 대해서는 고전압 배터리를 완전 충전시킨 뒤 2시간동안 그대로 두고 35% 수준까지 방전시킨 뒤 전용 진단기를 통해 고장메모리의 수록 여부를 판독하여 고장메모리가 확인되면 고전압 배터리 셀 모듈을 교체 합니다. 판매 전 차량을 점검하는 과정에서 화재발생 시 해당 차량은 폐기 될 예정입니다. 금번 시정조치 사유는 기 사전보고 드렸던 내용과 동일하게, 고전압 배터리 팩 용접 시 발생하는 이물질을 제거하기 위한 세척 공정이 불 충분하여 고전압 배터리 팩 내에 이물질이 남아있을 수 있습니다. 이물질의 크기, 위치 등에 따라 충전 시 고전압 배터리의 팽창에 따른 배터리 팩과 이물질간 눌림이 발생하여 첫 번째 충전에서 80%이상 충전 시 고전압 배터리가 단락 되며 드문 경우 화재발생 가능성이 확인 되어 해당 시정조치를 실시합니다.",26,100
다임러트럭코리아(주),유니목 U5023,2020-04-28,2020-04-28,2020-11-13,1,차량 개발단계에서 일부 유니목 뒷 차축 양쪽 브레이크 실린더와 캘리퍼 연결부 너트가 불충분한 조임토크로 인해 풀릴 가능성이 발견되었습니다.,1,100
르노코리아자동차 주식회사,SM3 1.6L 가솔린,2012-06-19,2013-06-03,2020-12-04,11797,"SM3 1.6L 가솔린 차량에서 오르막 경사로 주행 등으로 엔진 부하가 극히 높은 상태*에서 가속 페달을 해제 시 급격한 엔진회전수(RPM) 감소에 대한 엔진 토크의 보상 값이 충분하지 않은 경우 시동이 꺼지는 현상이 일부 차량에서 확인됨. * 여름철 냉방 장치를 켠 상태에서 오르막/내리막 주행을 반복하는 경우, 다수의 전기 장치 사용으로 인한 전기 부하 증가, 부품의 노후화로 인한 부품 간 마찰 증가 등의 극 가혹 조건.",10853,92
르노코리아자동차 주식회사,SM3 1.6L 가솔린,2013-03-26,2014-04-07,2020-12-04,20734,"SM3 1.6L 가솔린 차량에서 오르막 경사로 주행 등으로 엔진 부하가 극히 높은 상태*에서 가속 페달을 해제 시 급격한 엔진회전수(RPM) 감소에 대한 엔진 토크의 보상 값이 충분하지 않은 경우 시동이 꺼지는 현상이 일부 차량에서 확인됨. * 여름철 냉방 장치를 켠 상태에서 오르막/내리막 주행을 반복하는 경우, 다수의 전기 장치 사용으로 인한 전기 부하 증가, 부품의 노후화로 인한 부품 간 마찰 증가 등의 극 가혹 조건.",18362,88.56
르노코리아자동차 주식회사,SM3 1.6L 가솔린,2014-02-27,2019-08-19,2020-12-04,48886,"SM3 1.6L 가솔린 차량에서 오르막 경사로 주행 등으로 엔진 부하가 극히 높은 상태*에서 가속 페달을 해제 시 급격한 엔진회전수(RPM) 감소에 대한 엔진 토크의 보상 값이 충분하지 않은 경우 시동이 꺼지는 현상이 일부 차량에서 확인됨. * 여름철 냉방 장치를 켠 상태에서 오르막/내리막 주행을 반복하는 경우, 다수의 전기 장치 사용으로 인한 전기 부하 증가, 부품의 노후화로 인한 부품 간 마찰 증가 등의 극 가혹 조건.",46146,94.4
메르세데스벤츠코리아(주),E 400 4MATIC Coup,2016-11-17,2016-12-19,2022-07-29,3,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다.",2,66.67
메르세데스벤츠코리아(주),E 400 4MATIC,2016-04-09,2017-01-31,2022-07-29,298,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다.",259,86.91
메르세데스벤츠코리아(주),Mercedes-AMG E 43 4MATIC,2016-05-10,2017-01-24,2022-07-29,3,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다.",2,66.67
메르세데스벤츠코리아(주),E 300 4MATIC,2016-07-12,2017-01-31,2022-07-29,11,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다.",8,72.73
메르세데스벤츠코리아(주),E 300,2016-08-08,2016-12-21,2022-07-29,3,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다.",3,100
메르세데스벤츠코리아(주),E 350 d,2015-12-22,2015-12-22,2022-07-29,1,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다.",0,
메르세데스벤츠코리아(주),C 200 Convertible,2016-12-15,2016-12-15,2022-07-29,1,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다.",0,
메르세데스벤츠코리아(주),C 300,2016-01-18,2016-01-18,2022-07-29,1,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다.",1,100
메르세데스벤츠코리아(주),C 300 4MATIC,2014-09-30,2014-09-30,2022-07-29,1,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다.",0,
메르세데스벤츠코리아(주),C 200,2014-08-05,2016-02-27,2022-07-29,23,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다.",17,73.91
메르세데스벤츠코리아(주),C 250 d 4MATIC,2015-05-27,2016-11-16,2022-07-29,12,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다.",11,91.67
메르세데스벤츠코리아(주),C 220 d 4MATIC,2016-02-10,2016-02-29,2022-07-29,2,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다.",2,100
메르세데스벤츠코리아(주),C 220 d,2014-07-15,2015-07-03,2022-07-29,12,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다.",6,50
르노코리아자동차 주식회사,MASTER,2019-12-02,2021-10-04,2022-08-26,3279,"국토교통부가 시행한 2021년 자기인증 적합조사 결과, MASTER 일부 차량이 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제108조의 2(연료소비율)에서 정하는 기준에 부적합한 것으로 확인됨",2411,73.53
폭스바겐그룹코리아 주식회사,Golf 8 2.0 TDI,2021-07-28,2021-11-24,2022-11-28,272,"특정 기간 동안 생산/수입된 일부 차량의 좌석 안전띠(운전자석, 등승자석) 텐셔너 내부 와셔 불량으로, 정면 충돌 시 안전벨트의 유지력이 충분하지 않을 가능성이 있습니다. 이는 ‘자동차 및 자동차 부품의 성능과 기준에 관한 규칙’ 102조의3(고정벽면충돌 안정성)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다.",193,70.96
비엠더블유코리아(주),BMW X5 xDrive 30d,2022-06-22,2022-06-22,2022-09-02,1,자동변속기 내부 주차 기어를 고정하는 이탈 방지 링의 제작 과정 상 오류로 주차 기어가 이탈될 수 있습니다.,1,100
비엠더블유코리아(주),BMW i7 xDrive60,2022-07-29,2022-07-29,2022-09-02,1,배터리 셀 생산 공정 중에 손상된 음극판 조각이 배터리 셀 내부에 유입되어 고전압 배터리에 단락이 발생할 수 있습니다.,0,
비엠더블유코리아(주),BMW iX xDrive50,2021-09-20,2021-09-20,2022-09-02,1,배터리 셀 생산 공정 중에 손상된 음극판 조각이 배터리 셀 내부에 유입되어 고전압 배터리에 단락이 발생할 수 있습니다.,1,100
비엠더블유코리아(주),BMW i4 M50,2022-04-25,2022-06-07,2022-09-02,2,배터리 셀 생산 공정 중에 손상된 음극판 조각이 배터리 셀 내부에 유입되어 고전압 배터리에 단락이 발생할 수 있습니다.,2,100
비엠더블유코리아(주),BMW i4 eDrive40,2022-02-10,2022-08-11,2022-09-02,16,배터리 셀 생산 공정 중에 손상된 음극판 조각이 배터리 셀 내부에 유입되어 고전압 배터리에 단락이 발생할 수 있습니다.,15,93.75
(주)볼보자동차코리아,C40,2021-05-11,2022-08-11,2022-09-16,450,국내 수입된 차량에서 계기판 소프트웨어의 속도계 설정값 오류로 인해 계기판에 표시되는 속도가 실제 차량 속도보다 낮게 표시되는 것으로 확인되었습니다.,444,98.67
(주)볼보자동차코리아,XC40,2017-06-30,2022-08-11,2022-09-16,9294,국내 수입된 차량에서 계기판 소프트웨어의 속도계 설정값 오류로 인해 계기판에 표시되는 속도가 실제 차량 속도보다 낮게 표시되는 것으로 확인되었습니다.,8770,94.36
(주)볼보자동차코리아,XC90,2015-12-04,2022-08-21,2022-09-16,9072,국내 수입된 차량에서 계기판 소프트웨어의 속도계 설정값 오류로 인해 계기판에 표시되는 속도가 실제 차량 속도보다 낮게 표시되는 것으로 확인되었습니다.,8416,92.77
(주)볼보자동차코리아,XC60,2017-05-15,2022-08-21,2022-09-16,14063,국내 수입된 차량에서 계기판 소프트웨어의 속도계 설정값 오류로 인해 계기판에 표시되는 속도가 실제 차량 속도보다 낮게 표시되는 것으로 확인되었습니다.,13368,95.06
(주)볼보자동차코리아,S90L,2018-05-18,2022-08-07,2022-09-16,6403,국내 수입된 차량에서 계기판 소프트웨어의 속도계 설정값 오류로 인해 계기판에 표시되는 속도가 실제 차량 속도보다 낮게 표시되는 것으로 확인되었습니다.,6230,97.3
(주)볼보자동차코리아,V90CC,2016-12-19,2022-08-18,2022-09-16,2776,국내 수입된 차량에서 계기판 소프트웨어의 속도계 설정값 오류로 인해 계기판에 표시되는 속도가 실제 차량 속도보다 낮게 표시되는 것으로 확인되었습니다.,2636,94.96
(주)볼보자동차코리아,S90,2016-05-23,2020-04-27,2022-09-16,4974,국내 수입된 차량에서 계기판 소프트웨어의 속도계 설정값 오류로 인해 계기판에 표시되는 속도가 실제 차량 속도보다 낮게 표시되는 것으로 확인되었습니다.,4499,90.45
(주)볼보자동차코리아,V60CC,2018-05-23,2022-07-16,2022-09-16,5325,국내 수입된 차량에서 계기판 소프트웨어의 속도계 설정값 오류로 인해 계기판에 표시되는 속도가 실제 차량 속도보다 낮게 표시되는 것으로 확인되었습니다.,5120,96.15
(주)볼보자동차코리아,S60,2019-06-15,2022-08-12,2022-09-16,5808,국내 수입된 차량에서 계기판 소프트웨어의 속도계 설정값 오류로 인해 계기판에 표시되는 속도가 실제 차량 속도보다 낮게 표시되는 것으로 확인되었습니다.,5538,95.35
혼다코리아(주),ACCORD,2017-08-16,2019-10-21,2021-01-18,4740,"가. 차량 통신 네트워크에 접속되는 바디 컨트롤 모듈 (Body Control Module) 의 프로그램이 부적절하여 차량 통신 에 오류가 발생할 수 있고, 이러한 상황에서 「각종 경고등 점등」 「후진 시 후방 카메라 미작동」 , 「 와이퍼 워셔액 미 작동 」 「 보안 장치 미 작동 」 「 데이라이트 미 작동 」 「 방 향 지시기 작동 중 계기판 표시 미 작동 」 「 우천 시 전면 유리 김서리 방지기 능 미 작동 」 의 전기장치 오류가 발생할 수 있음 ※ BCM 바디 컨트롤 모듈 : 차체 전기장치를 제어하는 컴퓨터 나. 해당 결함은 FMVSS 101 조 의 S2 항 계기판 표시기의 가시성 및 인식 보장 ”, 111 조의 S5.5.5 항 후방 카메라 영상 의 가시성 유지 ” 조건을 충족시키지 못하여 제작결함 시정 조치 계획을 아래와 같이 보고함.",4580,96.62
혼다코리아(주),ACCORD,2018-03-28,2019-10-03,2021-01-18,1318,"가. 차량 통신 네트워크에 접속되는 바디 컨트롤 모듈 (Body Control Module) 의 프로그램이 부적절하여 차량 통신 에 오류가 발생할 수 있고, 이러한 상황에서 「각종 경고등 점등」 「후진 시 후방 카메라 미작동」 , 「 와이퍼 워셔액 미 작동 」 「 보안 장치 미 작동 」 「 데이라이트 미 작동 」 「 방 향 지시기 작동 중 계기판 표시 미 작동 」 「 우천 시 전면 유리 김서리 방지기 능 미 작동 」 의 전기장치 오류가 발생할 수 있음 ※ BCM 바디 컨트롤 모듈 : 차체 전기장치를 제어하는 컴퓨터 나. 해당 결함은 FMVSS 101 조 의 S2 항 계기판 표시기의 가시성 및 인식 보장 ”, 111 조의 S5.5.5 항 후방 카메라 영상 의 가시성 유지 ” 조건을 충족시키지 못하여 제작결함 시정 조치 계획을 아래와 같이 보고함.",1271,96.43
혼다코리아(주),ACCORD,2017-09-22,2019-10-18,2021-01-18,5551,"가. 차량 통신 네트워크에 접속되는 바디 컨트롤 모듈 (Body Control Module) 의 프로그램이 부적절하여 차량 통신 에 오류가 발생할 수 있고, 이러한 상황에서 「각종 경고등 점등」 「후진 시 후방 카메라 미작동」 , 「 와이퍼 워셔액 미 작동 」 「 보안 장치 미 작동 」 「 데이라이트 미 작동 」 「 방 향 지시기 작동 중 계기판 표시 미 작동 」 「 우천 시 전면 유리 김서리 방지기 능 미 작동 」 의 전기장치 오류가 발생할 수 있음 ※ BCM 바디 컨트롤 모듈 : 차체 전기장치를 제어하는 컴퓨터 나. 해당 결함은 FMVSS 101 조 의 S2 항 계기판 표시기의 가시성 및 인식 보장 ”, 111 조의 S5.5.5 항 후방 카메라 영상 의 가시성 유지 ” 조건을 충족시키지 못하여 제작결함 시정 조치 계획을 아래와 같이 보고함.",5426,97.75
비엠더블유코리아(주),BMW 320i,2020-08-07,2020-08-07,2022-03-04,1,"차량 제작 과정에서 자동변속기 메카트로닉스의 상, 하부의 체결 나사의 조립 과정에서의 일부 나사의 체결이 누락되었을 가능성을 확인하였습니다.",1,100
